network,n_orig,m_orig,n,m,d_s_weyl,r2_weyl,d_s_hk,r2_hk,beta_weyl,beta_hk
CondMat (Physics),21363,91342,1500,5986,2.4485883710244396,0.9867875395287102,2.6885901287920553,0.9229822326014102,0.7100262796214964,0.7288937059733765
AstroPh (Physics),17903,197031,1500,16250,2.82828501811186,0.9973528148583297,3.034799041675041,0.9555354598540878,0.7387864291010371,0.752156181839269
GrQc (Physics),4158,13428,1500,6285,3.0468619149512617,0.8452657380346451,3.014836689132929,0.9259742903279341,0.7528949539134342,0.7509238662915658
Angular v2,220,672,220,672,0.9915995287524131,0.9520787817603231,0.627018749696052,0.7722139428058402,0.4978910239919445,0.3853789329798364
Angular v5,270,704,270,704,1.1265737509721574,0.9499100899375046,1.0464189009473466,0.7388208670345836,0.5297600191186161,0.5113414953619364
Angular v8,173,606,173,606,0.7015682443913577,0.8385299170202737,0.6615413948470211,0.7818658634863154,0.41230685087350405,0.39814921066587666
Angular v11,107,294,107,294,0.7774489022127957,0.9543395261777857,0.967099802876672,0.8111336285274904,0.43739592246220294,0.49163738487614733
