network,type,n,m,rho_k,gamma,lambda2,gini,nestedness,class_m_votes,classification
Pollination 1,Mutualistic,185,361,0.4510679106282647,2.0658045449113964,0.272138848659495,0.5105059353773884,9.756601160109975,3,Class M
Pollination 2,Mutualistic,107,196,0.3646864464807928,2.0213552607080785,0.20240453590551222,0.4437848986367523,10.112750110484585,2,Class M
Pollination 3,Mutualistic,61,81,0.32005005508336926,2.5219766362627043,0.16740088616398133,0.43736085812588543,13.397176938843605,1,Class T
Seed Dispersal 1,Mutualistic,28,50,0.28957278687136173,2.077059882241103,0.543733420907137,0.4414285714285713,37.26717902350814,1,Class T
Seed Dispersal 2,Mutualistic,40,119,0.682776870960931,1.7206851181240959,0.8096476690673267,0.45357142857142874,48.0818263690604,2,Class M
Food Web 1,Competitive,76,185,0.4566382092796725,1.8023772750251144,0.34225715734684503,0.4340682788051209,15.300729259091923,2,Class M
Food Web 2,Competitive,21,38,0.2911128074169306,1.9248935753515068,0.35866093036605656,0.3057644110275688,25.23941068139963,1,Class T
