network,n_nodes,n_edges,lambda2_real,phi_lower,phi_upper,lambda2_config_mean,lambda2_config_std,lambda2_er_mean,lambda2_er_std,ratio_vs_config,ratio_vs_er,class_m_signature
Bitcoin_OTC,5875,21489,0.039776557359333914,0.019888278679666957,0.2820516171176259,0.07758621614237601,0.014223715681626168,0.27546769481873556,0.0459777853628912,0.5126755670922424,0.14439645050033129,True
Bitcoin_Alpha,3775,14120,0.03978968343386545,0.019894841716932725,0.282098151124269,0.10793818224169963,0.02439992425277174,0.2991275525831928,0.028345454172361142,0.36863399593636614,0.13301911873463818,True
