Network,Degree,gamma_measured,sigma,gamma_paper,delta,within_0.1,xmin,n_above_xmin,R_vs_lognormal,p_vs_lognormal,preferred_dist
Epinions,in,1.720,0.004,1.705,0.015,Y,2.0,27928,-16.934,0.0000,Lognormal
Epinions,out,3.547,0.147,1.729,1.818,N,170.0,299,0.217,0.8285,Inconclusive
Bitcoin_OTC,in,1.839,0.014,2.269,0.430,N,2.0,3431,-7.281,0.0000,Lognormal
Bitcoin_OTC,out,2.056,0.033,2.059,0.003,Y,7.0,1028,-3.054,0.0023,Lognormal
Bitcoin_Alpha,in,1.812,0.017,2.175,0.363,N,2.0,2289,-6.829,0.0000,Lognormal
Bitcoin_Alpha,out,2.118,0.043,2.000,0.118,N,8.0,668,-2.552,0.0107,Lognormal
