network,degree_type,gamma,sigma,xmin,n_samples,n_above_xmin,R_vs_exponential,p_vs_exponential,R_vs_lognormal,p_vs_lognormal,R_vs_truncated_pl,p_vs_truncated_pl
Epinions,in,1.7204481370922613,0.004311047468089158,2.0,51957,27928,42.50512455245348,0.0,-16.93427985806743,2.514163777748044e-64,-22.02562596907545,0.0
Epinions,out,3.546733893701424,0.14728142384720572,170.0,60341,299,2.7197504731322732,0.006533119540034721,0.2165704424249713,0.8285431225650577,0.0033412016935776318,0.9996077082803307
Bitcoin_OTC,in,1.8393915653189086,0.014330265667983589,2.0,5858,3431,10.530634993756143,6.241202933875143e-26,-7.280985869372141,3.3138939739113765e-13,-7.3578616250635696,0.0
Bitcoin_OTC,out,2.0560115166450714,0.032936094284226225,7.0,4814,1028,5.52862682689835,3.2274705715231204e-08,-3.0541507413411066,0.0022569864288568327,-3.420912028820275,1.7167249266591966e-07
Bitcoin_Alpha,in,1.8124152743389654,0.016980684140876206,2.0,3754,2289,9.261389259870231,2.0178932761167284e-20,-6.828862948815175,8.559029162185368e-12,-7.4761154639236445,0.0
Bitcoin_Alpha,out,2.117757252362731,0.04324732651059016,8.0,3286,668,4.515013827048068,6.331263476961616e-06,-2.552445682179578,0.010696958748800799,-3.1945818760165943,4.58112678114464e-06
