network,n,k_frac,k,rho_real,rho_null_mean,rho_null_std,z_score,p_value,excess
Bitcoin_OTC,1500,0.005,7,0.3344203216382614,0.3160145852460788,0.0018441740662650849,9.980476750472292,0.0,0.018405736392182626
Bitcoin_OTC,1500,0.01,15,0.44412484264628616,0.42672509147976656,0.0015754413040976038,11.044366503064353,0.0,0.017399751166519595
Bitcoin_OTC,1500,0.02,30,0.5743097589875168,0.5575444862097861,0.0013105244690108397,12.792796452236242,0.0,0.016765272777730655
Bitcoin_OTC,1500,0.05,75,0.7638118369234365,0.748160037325862,0.0021882400973293175,7.152688416904989,0.0,0.015651799597574456
Bitcoin_OTC,1500,0.1,150,0.8886041848224465,0.8725030280337629,0.0022766959230369446,7.072159538637846,0.0,0.016101156788683624
Bitcoin_Alpha,1500,0.005,7,0.2155785232390563,0.20222806956478506,0.0016428670219546747,8.126314239594958,0.0,0.013350453674271234
Bitcoin_Alpha,1500,0.01,15,0.3351785293436366,0.3214750288957492,0.0013820481495950229,9.915356749258644,0.0,0.013703500447887429
Bitcoin_Alpha,1500,0.02,30,0.475215662004493,0.46374118160932126,0.0012733580958976473,9.011196796988095,0.0,0.011474480395171738
Bitcoin_Alpha,1500,0.05,75,0.6827144395813348,0.6703745847628113,0.0018803559815307805,6.562509939462499,0.0,0.01233985481852351
Bitcoin_Alpha,1500,0.1,150,0.8336085271260996,0.8151036121749995,0.0032048863140487,5.773969226297766,0.0,0.01850491495110007
